,City,Temperature °F,Humidity,Cloudiness,Wind Speed,Latitude,Longitude,Country,Date
0,Martyush,49.6,92,100,4.16,56.4,61.88,RU,1601354370
1,La Ronge,51.8,71,20,10.29,55.1,-105.28,CA,1601354134
2,Laguna,77.0,40,1,4.61,38.42,-121.42,US,1601354093
3,Arrondissement d'Ajaccio,53.6,87,20,8.05,42.0,8.92,FR,1601354371
4,Srednekolymsk,52.99,53,100,10.27,67.45,153.68,RU,1601354147
5,Saint Paul Harbor,48.2,66,1,4.7,57.79,-152.41,US,1601354140
6,Saldanha,41.0,86,0,4.7,-33.01,17.94,ZA,1601354371
7,West Bay,84.0,83,1,1.01,19.37,-81.42,KY,1601354371
8,Albany,69.01,86,3,8.55,42.6,-73.97,US,1601354158
9,George Town,87.8,66,20,8.05,5.41,100.34,MY,1601353883
10,Utevka,55.72,61,0,4.5,52.9,50.95,RU,1601354372
11,Punta Arenas,30.2,86,20,13.87,-53.15,-70.92,CL,1601354372
12,Berlevåg,44.6,87,8,5.82,70.86,29.09,NO,1601354373
13,Carnarvon,73.4,60,0,23.04,-24.87,113.63,AU,1601354092
14,Port Alfred,56.88,66,5,22.17,-33.59,26.89,ZA,1601354048
15,Bredasdorp,46.4,87,56,5.82,-34.53,20.04,ZA,1601354052
16,Kapaa,82.4,69,40,6.93,22.08,-159.32,US,1601354067
17,Pingxiang,68.14,93,100,2.75,27.62,113.85,CN,1601354374
18,Cerinza,47.55,83,46,2.98,5.96,-72.95,CO,1601354374
19,Gerāsh,78.8,50,0,1.3,27.67,54.14,IR,1601354144
20,Kathmandu,77.0,73,20,2.24,27.72,85.32,NP,1601354115
21,Rikitea,71.62,84,97,19.89,-23.12,-134.97,PF,1601354048
22,Bandarbeyla,80.08,73,50,17.98,9.49,50.81,SO,1601353887
23,Kysyl-Syr,43.92,60,75,16.82,63.9,122.76,RU,1601354376
24,Kaitangata,36.0,75,99,17.0,-46.28,169.85,NZ,1601354088
25,Hermanus,44.01,95,43,2.68,-34.42,19.23,ZA,1601353876
26,Codajás,74.28,89,4,1.7,-3.84,-62.06,BR,1601354377
27,Mataura,39.0,78,94,21.0,-46.19,168.86,NZ,1601354063
28,Saskylakh,30.06,96,100,13.78,71.92,114.08,RU,1601353948
29,Ushibukamachi,75.7,55,33,5.97,32.19,130.02,JP,1601354377
30,Atuona,77.97,75,8,16.44,-9.8,-139.03,PF,1601353890
31,Leningradskiy,33.64,86,0,7.05,69.38,178.42,RU,1601353953
32,Iskateley,47.28,92,96,12.48,67.68,53.15,RU,1601354379
33,Nardaran,60.8,63,81,2.24,40.56,50.01,AZ,1601354379
34,Nelson Bay,68.0,55,40,13.87,-32.72,152.15,AU,1601354257
35,Alofi,80.6,78,2,10.29,-19.06,-169.92,NU,1601353921
36,Chokurdakh,43.18,64,65,4.59,70.63,147.92,RU,1601353937
37,Mehamn,44.6,87,36,5.82,71.04,27.85,NO,1601354090
38,Baft,64.69,43,0,3.56,29.23,56.61,IR,1601354380
39,Paysandu,54.0,72,0,7.52,-32.32,-58.08,UY,1601354381
40,Sitka,51.8,81,40,4.7,57.05,-135.33,US,1601354013
41,Lebu,46.58,85,86,5.41,-37.62,-73.65,CL,1601354058
42,Hokitika,46.35,58,56,23.15,-42.72,170.97,NZ,1601354382
43,Cairns,84.0,54,40,18.34,-16.92,145.77,AU,1601354179
44,Hobart,66.99,59,75,12.75,-42.88,147.33,AU,1601354034
45,Raudeberg,52.0,94,100,7.18,61.99,5.14,NO,1601354382
